url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,description,pro/cal,pri/we,html_path,last_upd_time,weight,content,fetchErr
https://www.ozon.ru/product/kofe-v-drip-paketah-ozon-fresh-molotyy-arabica-efiopiya-6-sht-754381286/,"Кофе в дрип-пакетах Ozon fresh молотый Arabica Эфиопия, 6 шт",13.9,14.4,29.5,303.2,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе растворимый#Ozon fresh",299,1,4.7,13688,https://cdn1.ozone.ru/s3/multimedia-1-v/7349613871.jpg,"Внешний вид упаковки может отличаться от фото, так как товар проходит ребрендинг.  Молотый кофе в дрип-пакетах Ozon fresh Arabica Эфиопия — это удобный и быстрый способ насладиться свежесваренным кофе в любое время. Каждая упаковка содержит 6 пакетиков по 10 грамм, что позволяет добиться вкуса настоящего кофе без необходимости измерения порций и перемалывания зерен.
Кофе в дрип-пакетах от Ozon fresh произведен из высококачественных зерен арабики, выращенных на плантациях Эфиопии. Характерный вкус и аромат кофе обусловлены климатическими условиями и особым методом обработки зерен. Попробуйте его прямо сейчас и насладитесь насыщенным вкусом арабики из Эфиопии в удобных дрип-пакетах.
Для того чтобы приготовить кофе, достаточно распаковать пакетик и поставить его в чашку, залить горячей водой и подождать, пока кофе начнет протекать через фильтр в чашку с водой. Всего через несколько минут можно наслаждаться ароматным и вкусным кофе. Дрип-пакеты идеально подходят как для домашнего использования, так и для использования в поездках, на отдыхе или в офисе.",0.045844327176781004,0,,2025-06-13 11:27:38,,,
https://www.ozon.ru/product/chernyy-chay-v-paketikah-greenfield-golden-ceylon-100-sht-33006463/,"Чай в пакетиках чёрный Greenfield Golden Ceylon, 100 шт",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Чай в пакетиках#Greenfield",349,1,4.9,972164,https://cdn1.ozone.ru/s3/multimedia-1-i/7505712018.jpg,"Крупнолистовой цейлонский чай из провинции Ругуну, расположенной на юге острова Шри-Ланка. Отличается идеально сбалансированным мягким вкусом с тонкими пряными оттенками и ярким свежим ароматом, присущим элитным цейлонским чаям.                                                 Изготовитель: ООО ""Орими"", РФ, 188682, г. Санкт-Петербург, пр-т Большевиков, д. 64, к. 2.Импортер: ООО ""Альфа-Дистрибьюция"", 220082, Республика Беларусь, г. Минск г., ул. Матусевича И.И., дом № 20, помещение 12/1",0,1.745,,2025-06-13 11:27:39,200,чай черный байховый цейлонский,
https://www.ozon.ru/product/kofe-kapsulnyy-jardin-caramel-dlya-sistemy-nespresso-10-sht-1522890907/,"Кофе капсульный Jardin Caramel, для системы Nespresso, 10 шт",0,0,0,0,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе в капсулах Nespresso#Jardin",283,1,4.9,75049,https://cdn1.ozone.ru/s3/multimedia-1-e/7096185770.jpg,"Великолепно сбалансированный бленд арабики из Гватемалы и Колумбии с гармоничным мягким вкусом, долгим приятным послевкусием и утонченным ароматом карамели.",0,5.66,,2025-06-13 11:27:39,50,"Кофе жареный молотый, ароматизатор ""Карамель""",
https://www.ozon.ru/product/kofe-rastvorimyy-neskafe-gold-barista-75-g-144511013/,"Кофе растворимый Нескафе Голд Бариста, 75 г",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе растворимый#НЕСКАФÉ",286,1,4.9,421608,https://cdn1.ozone.ru/s3/multimedia-1-b/7361858567.jpg,"Чашка приготовленного NESCAFÉ® Gold Barista наполнит утро яркими впечатлениями. Великолепный аромат и насыщенный вкус приведут вас в восторг и зарядят энергией для достижения любых целей.

Каждый Бариста знает, что разные виды зёрен требуют разной обжарки для раскрытия всей полноты аромата и оттенков вкуса. NESCAFÉ Gold Barista - это два вида кофе, которые по-разному обжариваются, чтобы раскрыть лучшие качества каждого. Светлая обжарка Арабики раскрывает мягкий, сочный вкус с тонкими фруктовыми нотами в аромате. А тёмная обжарка кофейных зёрен - для глубокого вкуса с карамельным оттенком. В результате получается напиток с еще более насыщенным вкусом и ярким ароматом. Как профессиональный бариста, новый NESCAFÉ Gold Barista удовлетворяет самый взыскательный вкус.

Приготовление кофе — это настоящее искусство. С NESCAFÉ® GOLD Barista вы сможете самостоятельно сделать шедевр дома или на работе. Это просто:
насыпьте 1-2 чайные ложки;
налейте горячую воду;
добавьте сахар, молоко или сливки по желанию.

NESCAFÉ® Gold Barista не только порадует вас своим изысканным вкусом, но и поможет проснуться утром и подарит силы в течение дня.

Условия хранения: в сухом, прохладном месте.

Состав: Натуральный растворимый сублимированный кофе, натуральный жареный молотый кофе.""
",0,3.8133333333333335,,2025-06-13 11:27:39,75,Натуральный растворимый сублимированный кофе с добавлением натурального жареного молотого кофе,
https://www.ozon.ru/product/kofe-v-zernah-carraro-gran-crema-1-kg-196511905/,Кофе в зернах Carraro Gran Crema 1 кг,13.9,14.4,4.1,200.6,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе в зернах#Carraro",1683,1,4.7,19557,https://cdn1.ozone.ru/s3/multimedia-1-5/7519918217.jpg,"Кофе торговой марки Carraro – настоящий итальянский напиток, который завоевал сердца многих отечественных потребителей. Компания тщательно отбирает зеленые зерна и обжаривает каждый сорт отдельно, формируя купажи. Натуральный зерновой кофе Carraro Gran Crema обладает плотной кремовой текстурой, богатым ароматом и ярким вкусом. В любое время дня Gran Crema поможет взбодриться и включиться в работу или просто приятно посидеть за чашечкой любимого напитка. Кофе подойдет для приготовления во френч-прессе, в турке, в кофеварке капельного типа, в автоматических кофемашинах, а также для заваривания в кружке. Перейдя на страничку нашего бренда italco Вы можете ознакомиться с другой товарной линейкой кофе. Каждый сорт натурального кофе торговой марки Carraro отличается своим особенным ароматом, насыщенностью вкуса и послевкусием. Мы уверенны, что Вам непременно понравится кофе торговой марки Carraro ведь для наших покупателей мы выбираем лучший натуральный кофе высшего сорта!Внимание! Произошла смена этикетки, продукт может приходит с разным дизайном.",0.06929212362911266,1.683,,2025-06-13 11:27:39,1000,"арабика 70%, робуста 30%",
https://www.ozon.ru/product/kofe-rastvorimyy-monarch-original-190-g-33871123/,"Кофе растворимый Monarch Original, 190 г",14.6,0.1,10.3,101,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе растворимый#Monarch",653,1,4.9,617719,https://cdn1.ozone.ru/s3/multimedia-1-p/7505711845.jpg,"ВНИМАНИЕ: в ваших заказах может быть как Jacobs Monarch, так и Monarch. Богатый, насыщенный вкус и волшебная сила Аромагии остаётся с вами в каждой чашке кофе Monarch!
Мы сохраняем высокое качество и традиции производства, чтобы вы всегда могли наслаждаться любимым кофе.  

Кофе Monarch Original–  великолепный вкус в каждой капле!",0.14455445544554454,3.4368421052631577,,2025-06-13 11:27:39,190,,
https://www.ozon.ru/product/kofe-v-kapsulah-l-or-kollektsiya-nabor-dlya-kofemashiny-nespresso-arabika-70-sht-160807699/,"Кофе в капсулах L'OR Коллекция, набор для кофемашины Nespresso, арабика, 70 шт",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе в капсулах Nespresso#L'OR",2627,1,4.9,6202,https://cdn1.ozone.ru/s3/multimedia-1-r/7385904243.jpg,Набор капсул “Коллекция” включает в себя всю палитру вкусов L’OR – от мягкого Delizioso до насыщенного Ristretto. Насладитесь вариативностью кофе L’OR и подберите бленд себе по вкусу!,0,5.051923076923077,,2025-06-13 11:27:40,520,Кофе натуральный жареный молотый,
https://www.ozon.ru/product/kofe-molotyy-lavazza-crema-e-gusto-250-g-v-u-32933700/,"Кофе молотый Lavazza Crema e Gusto, 250 г",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе молотый#Lavazza",500,1,4.8,97978,https://cdn1.ozone.ru/s3/multimedia-1-7/7367609131.jpg,"Lavazza Crema Gusto - это великолепный купаж индийской робусты и бразильской арабики. Зерна были  подвержены сильной обжарке, за счет которой получается крепкий и насыщенный вкус, а также густая пенка.
Смесь подойдет для приготовления в домашних условиях в кофемашине, гейзерной кофеварке и в турке. Мягкая упаковка не является браком по информации от официального импортера",0,2.0,,2025-06-13 11:27:40,250,,
https://www.ozon.ru/product/kofeynyy-napitok-jardin-3-v-1-kapuchino-8-sht-275256600/,"Кофейный напиток Jardin 3 в 1 Капучино, 8 шт",,,,452,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе растворимый#Jardin",198,1,4.9,39611,https://cdn1.ozone.ru/s3/multimedia-1-l/7361857353.jpg,"Jardin Капучино — кофейный напиток 3в1 быстрого приготовления. Мгновенно растворяется в горячей воде, не оставляя комочков. Отличный вариант для обеда на работе, в дороге или приготовления кофе без кофемашины. Образует пышную, густую, характерную для капучино пенку. В составе — кофе (растворимый), сахар, сливки (растительного происхождения). Имеет сладковатый запах, ярко выраженный шоколадно-кофейный вкус с карамельно-сливочным послевкусием, без «химического» привкуса. Крепкий, хорошо бодрит, благодаря большому количеству кофеина. Рассчитан на чашку 180 мл.",0,1.076086956521739,,2025-06-13 11:27:40,184,кофе,
https://www.ozon.ru/product/kofe-molotyy-piazza-del-caffe-gusto-forte-250-g-956937730/,"Кофе молотый Piazza del Caffe Gusto Forte, 250 г",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе молотый#Piazza del Caffe",399,1,4.8,12612,https://cdn1.ozone.ru/s3/multimedia-1-0/7505712036.jpg,"Кофе молотый Piazza del Caffe Gusto Forte - это ароматное и качественное кофейное напиток с насыщенным вкусом и богатым ароматом. Каждая упаковка содержит 250 граммов высококачественного кофе, который приготовлен для тех, кто предпочитает сильный и насыщенный вкус.

Piazza del Caffe - это известный производитель кофе, который предлагает широкий ассортимент различных сортов кофе для ценителей этого напитка. Gusto Forte - это один из самых популярных сортов кофе этого бренда, который отличается богатым вкусом и насыщенным ароматом.

Наслаждение чашечкой кофе Piazza del Caffe Gusto Forte станет отличным способом начать утро или насладиться моментом релаксации в любое время дня. Рекомендуется изучить инструкции по приготовлению кофейного напитка для достижения идеального вкуса и аромата.",0,1.596,,2025-06-13 11:27:40,250,,
https://www.ozon.ru/product/kofe-v-drip-paketah-coffesso-caramel-cream-5-sht-h-10-g-1467790513/,"Кофе в дрип-пакетах Coffesso Caramel Cream, 5 шт х 10 г",14,14,30,300,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе растворимый#Coffesso",226,1,4.8,32755,https://cdn1.ozone.ru/s3/multimedia-1-s/7572609100.jpg,"Аромат карамели и насыщенная кофейная нота COFFESSO CARAMEL CREAM надолго подарят сладость и нежность кофе, которыми можно насладиться в любом месте - дома, в офисе или в путешествии. Кофе в дрип-пакетах для тех, кто хочет чувствовать максимум ощущений, особенно в кофе. К тому же теперь это так же просто, как раз, два, три - открой, установи, залей - и готово! Вкусный кофе везде, где ты захочешь - дома, на работе, в поездке. Достаточно только открыть, установить, залить и наслаждаться! Микс арабики и робусты со вкусом и ароматом - лучшее кофейное сочетание. А с молоком - это чистое удовольствие! Coffesso — это импульс, открывающий тебя новому в жизни, что приносит удовольствие, и делает её многогранной. Coffesso помогает смотреть на мир с широко открытыми глазами, впускать новое в свою жизнь и наслаждаться простыми вещами. Призывает выбирать удовольствие не только в кофе, но и в жизни. Жизнь в удовольствие реальна! COFFESSO - ALWAYS INSPIRING!
Откройте для себя вкус молотого кофе в удобных фильтрах-пакетиках. Каждый сашет обеспечивает ароматный и насыщенный напиток. Просто добавьте горячую воду в дрип-кофе и наслаждайтесь.",0.04666666666666667,0,,2025-06-13 11:27:40,,,
https://www.ozon.ru/product/kofe-rastvorimyy-carte-noire-l-gant-95-g-225734014/,"Кофе растворимый Carte Noire Élégant, 95 г",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Кофе растворимый#Carte Noire",608,1,4.9,56411,https://cdn1.ozone.ru/s3/multimedia-1-b/7362234155.jpg,"Основные характеристики:

•	Carte Noire Élégant кофе растворимый, 95 г
•	Описание вкуса: Безупречно сбалансированный 
букет с изысканными фруктово
цветочными нотками
•	Состав: 100% арабика
•	Технология производства: Сублимированный

Дополнительные:

•	Достигнув совершенства в кофейном мастерстве, Carte Noire создал безупречный стандарт качества кофе – Carte Noire Élégant. Это настоящий кофейный шедевр, неподвластный времени.
Carte Noire Élégant создан из специально отобранных зерен 100% Арабики из Латинской Америки и Азии. Его безупречный исбалансированный 
букет с изысканными фруктово
цветочными нотками и несравненный аромат превратят каждый глоток кофе в момент изысканного наслаждения.
Carte Noire  Élégant – воплощение французских традиций в великолепном насыщенном вкусе кофе.

•	Способ приготовления: Положите в чашку 1-2 чайные ложки кофе CARTE NOIRE. Добавьте горячую, но не кипящую воду.

•	Условия хранения: Упаковано в условиях защитной среды. Хранить в сухом прохладном месте. После вскрытия хранить кофе в плотно закрытой упаковке в сухом прохладном месте. 

•	Срок годности: 24 месяца
•	Упаковка: стеклянная банка
•	Страна происхождения: Россия
•	Вес товара: 95 г",0,6.4,,2025-06-13 11:27:41,95,кофе,
https://www.ozon.ru/product/klassicheskiy-chernyy-chay-listovoy-ahmad-tea-200-g-135938830/,"Классический черный чай листовой Ahmad Tea, 200 г",,,,,"Ozon fresh#Вода и напитки#Чай, кофе и какао#Чай листовой#Ahmad Tea",240,1,4.9,146991,https://cdn1.ozone.ru/s3/multimedia-1-q/7505711990.jpg,"Секрет обаяния классического черного чая Ahmad Tea - в характерном терпком послевкусии, в глубоком, обволакивающем аромате и насыщенном настое. Чашка свежезаваренного чая - как возвращение домой, с каждым глотком погружает в атмосферу умиротворения и счастья. 
  Заваривать 3 - 5 минут, температура воды 100°С. 
Состав - Черный чай длиннолистовой
Цвет - Темно-коричневый
Вкус - Насыщенный, крепкий
Крепость - Средняя
Аромат - Свежесть садов
Лист - Ломанные листья традиционного черного чая
Атмосфера - Восстановление сил, заряд энергии, вдохновение
Рекомендуемое для чаепития время дня - В любое время дня
Уникальность - Секрет обаяния черного чая в характерном терпком послевкусии, в глубоком, обволакивающем аромате и насыщенном настое.
  Уважаемые клиенты! Обращаем ваше внимание на то, что упаковка может иметь несколько видов дизайна. Поставка осуществляется в зависимости от наличия на складе.",0,1.2,,2025-06-13 11:27:41,200,Классический Черный Чай черный,
