url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,description,pro/cal,pri/we,html_path,last_upd_time,content,weight,fetchErr
https://www.ozon.ru/product/grechka-yadritsa-ozon-fresh-proparennaya-800-g-754006766/,"Гречка ядрица Ozon fresh, пропаренная, 800 г",13,2.5,68,350,"Ozon fresh#Бакалея#Макароны, крупы, мука#Гречка#Ozon fresh",79,1,4.9,2165,https://cdn1.ozone.ru/s3/multimedia-1-o/7272397344.jpg,"Традиционная и всеми любимая крупа гречневая ядрица известна как источник полезных микроэлементов, антиоксидантов, витаминов.

Преимуществом гречки является высокое содержание калия, что благотворно влияет на сердечно-сосудистую систему, помогает нормализовать работу пищеварения, снижает отёчность. Поэтому гречка подходит для диетического питания, питания в рамках программ для похудения.

Рекомендации по приготовлению: Для приготовления гарнира необходимо промыть крупу в холодной воде, засыпать в кипящую подсоленную воду в соотношении 2:1 и варить на медленном огне до полного впитывания жидкости - примерно 20 минут. Добавьте соль, масло по вкусу. Идеально подходит как в качестве гарнира, так и в качестве самостоятельного блюда.",0.037142857142857144,0,,2025-06-13 11:02:03,,,
https://www.ozon.ru/product/ris-belyy-ozon-fresh-dlinnozernyy-shlifovannyy-800-g-754006885/,"Рис белый Ozon fresh, длиннозерный, шлифованный, 800 г",7,1.0,70,320,"Ozon fresh#Бакалея#Макароны, крупы, мука#Рис#Ozon fresh",146,1,4.9,1197,https://cdn1.ozone.ru/s3/multimedia-1-u/7272397422.jpg,"Рис белый длиннозёрный, шлифованный известен как источник полезных микроэлементов, антиоксидантов, витаминов.

Преимуществом риса является низкий, в сравнении с другими крупами, гликемический индекс около 60. При таком уровне индекса происходит более постепенное стабильное насыщение организма и в том числе медленное повышение уровня глюкозы в крови. Поэтому рис подходит для диетического питания, питания в рамках программ для похудения, для питания людей, страдающих диабетом.

Рекомендации по приготовлению: Для приготовления гарнира необходимо промыть рис в холодной воде, засыпать в кипящую воду в соотношении 1:2 и варить на медленном огне до полного впитывания жидкости - примерно 20 минут. Добавьте соль, масло по вкусу, дайте рису настояться. Идеально подходит как в качестве гарнира, так и в качестве самостоятельного блюда.",0.021875,0,,2025-06-13 11:02:03,,,
https://www.ozon.ru/product/bulgur-agro-alyans-450-g-427186572/,"Булгур Агро-Альянс, 450 г",12.0,1.5,75.0,360,"Ozon fresh#Бакалея#Макароны, крупы, мука#Булгур, киноа, кускус#Агро-Альянс",89,1,4.9,63042,https://cdn1.ozone.ru/s3/multimedia-1-f/7505712303.jpg,"Булгур «Агро-Альянс»: путешествие по вкусам и ароматам Ближнего Востока.
Булгур – настоящее путешествие в мир ближневосточных традиций и богатых вкусов. С древних времён этот уникальный продукт был признан символом изобилия и здоровья. Благодаря технологии производства булгур хорошо сохраняет свой природный витаминный состав и утонченную зерновую структуру после приготовления. Малоизвестный герой кулинарии, он идеально сочетается как с мясными деликатесами, так и с легкими вегетарианскими блюдами.
Булгур, вне всяких сомнений, достоин вашего внимания.

– Высокое качество. Булгур компании «Агро-Альянс» производится из отборной пшеницы твёрдых сортов.
– Простота приготовления. Не требуется сложных манипуляций: залейте крупу горячей кипячёной водой в соотношении 1 к 2 (одна часть булгура и две части жидкости) и через 15–20 минут булгур готов к употреблению.
– Универсальность. Гармонично сочетается с овощами, мясом, рыбой и приправами, что делает его универсальным ингредиентом для самых разнообразных салатов, гарниров и супов.

Булгур хорошо сохраняет форму в процессе приготовления, отличается приятной текстурой и насыщенным, естественным вкусом. Капелька зиры, кориандра или куркумы придаёт ему деликатесный аромат. Приготовить классический ближневосточный салат табуле – первое, что стоит сделать, купив булгур. Булгур, много петрушки и мяты, оливковое масло и лимонный сок – рецепт салата не менялся на протяжении веков. Можно добавить к табуле некоторое количество томатов, огурцов или болгарского перца. Булгуром можно заменить рис в плове, так вы получите интересную вариацию хорошо знакомого блюда. Добавив к крупе любимые запечённые овощи, вы получите отличное самостоятельное блюдо или гарнир к мясу и рыбе.
Чтобы всегда успешно готовить булгур, важно учитывать несколько ключевых моментов. Эти советы помогут сохранить его текстуру и подчеркнуть вкусовые качества.

– Использование бульона. Замените воду на овощной или куриный бульон. Это придаст булгуру дополнительный вкус и аромат, сделает блюдо ещё более насыщенным.
– Предварительно обжаривание. Перед варкой обжарьте булгур на небольшом количестве растительного масла в той же посуде, где будете его варить, в течение 2–3 минут, а уже затем залейте водой. Этот прием позволяет раскрыть его аромат и сделает блюдо более интересным.
– Без перемешивания. При варке булгура как можно меньше вмешивайтесь в процесс. Это поможет зернам сохранить форму и не превратиться в кашу.
– Отдых под крышкой. После того как булгур сварился, дай ему настояться под крышкой 10–15 минут. Так он станет ещё более мягким и ароматным, впитав остатки жидкости.

Пусть каждое блюдо с булгуром «Агро-Альянс» станет путешествием в мир аутентичных вкусов и традиций, привнося их тепло и насыщенность в ваш рацион.",0.03333333333333333,0.19777777777777777,,2025-06-13 11:02:03,Крупа пшеничная Булгур,450,
https://www.ozon.ru/product/grechka-uvelka-800-g-138235117/,"Гречка Увелка, 800 г",13.0,2.0,72.0,360,"Ozon fresh#Бакалея#Макароны, крупы, мука#Гречка#Увелка",91,1,4.9,48331,https://cdn1.ozone.ru/s3/multimedia-1-b/7572609155.jpg,"Гречка ядрица экстра Увелка - отборная крупа с богатым содержанием витаминов   группы В и клетчатки. При варке дает насыщенный богатый вкус, обладая   высокими питательными свойствами. Гречневая крупа надолго насыщает   организм, заставляя забыть о чувстве голода на несколько часов. Помимо   отличного вкуса она дает неоценимую пользу, в первую очередь, благодаря   высокому содержанию клетчатки, углеводов и незаменимых аминокислот. Состав   белка в этой крупе приближен к мясу. Подавая на стол гарнир из гречи, добавьте к   нему лесные грибы или подливку из чесночного соуса.  Уважаемые клиенты! Обращаем ваше внимание на возможные изменения в дизайне упаковки. Качественные характеристики товара остаются неизменными. Поставка осуществляется в зависимости от наличия на складе.",0.03611111111111111,0.11375,,2025-06-13 11:02:03,гречневая крупа,800,
https://www.ozon.ru/product/fitparad-saharozamenitel-fitparad-7-doy-pak-500-g-178366801/,FitPARAD / Сахарозаменитель ФитПарад №7 дой-пак 500 г.,0,0,0,0,"Ozon fresh#Бакалея#Сахар, соль и специи#Сахарозаменители#FitPARAD",850,1,4.9,57787,https://cdn1.ozone.ru/s3/multimedia-1-u/7049668242.jpg,"FitParad №7КБЖУ: 0/0/0/0; включает мерную ложечку 1 г; 1 гр. смеси ФитПарад заменяет 10 гр. сахара.Сбалансированный состав компонентов придает заменителям сахара FitParad отличный вкус, максимально приближенный к сахару, при употреблении нет неприятного послевкусия.Вкус не меняется в процессе тепловой обработки, поэтому сахарозаменитель можно использовать для приготовления самых разных сладких блюд и десертов.Сахарозаменитель FitParad состоит из природных компонентов:Эритрит – натуральный сахарозаменитель, производимый из кукурузного крахмала. Один из лучших сахарозаменителей для эффективной коррекции массы тела.Сукралоза – вырабатывается из обычного сахара и имеет вкусовые характеристики подобные сахару. Не обладает калорийностью. Не вызывает кариес зубов. Практически не влияет на уровень глюкозы и инсулина в крови.Экстракт стевии – натуральный сахарозаменитель, получаемый из стевии («медовой травы»). Помимо сладкого вкуса стевия обладает рядом полезных свойств: укрепляет сосудистую стенку, оказывает тонизирующее воздействие на организм, нормализует обменные процессы, положительно влияет на микрофлору кишечника.Все ингредиенты, входящие в состав продукта, абсолютно безопасны и одобрены ВОЗ.FitParad - единственный сахарозаменитель на территории РФ, успешно прошедший клинические испытания Института питания РАМН. Доказано, что FitParad не повышает уровень инсулина в крови, поэтому его рекомендуют эндокринологи.Идеально подойдет в качестве замены сахара для тех, кто контролирует массу тела и хочет похудеть, для спортсменов и сторонников здорового и правильного питания.Рекомендуется для больных сахарным диабетом второго типа.Дозировка не более 45 г в сутки.",0,1.7,,2025-06-13 11:02:04,,500,
https://www.ozon.ru/product/fasol-belaya-bondyuel-v-souse-so-sladkim-pertsem-paprikash-360-g-1869568607/,"Фасоль белая Бондюэль в соусе со сладким перцем Паприкаш, 360 г",6.2,2,14.9,102,Ozon fresh#Бакалея#Консервация#Овощи#Бондюэль,154,1,4.9,5481,https://cdn1.ozone.ru/s3/multimedia-1-r/7572608883.jpg,"Откройте для себя яркие вкусы венгерской кухни с готовым блюдом от Бондюэль — белая фасоль со сладким перцем в соусе «Паприкаш». Готовые блюда от Бондюэль - это быстрое и вкусное решение, которое позволит вам насладиться аутентичным вкусом Венгрии за считанные минуты. Фасоль от Бондюэль подходит как гарнир, так и как полноценное блюдо. Попробуйте вкусное и питательное блюдо из фасоли со сладким перцем в соусе ""Паприкаш""!",0.060784313725490195,0.42777777777777776,,2025-06-13 11:02:04,,360,
https://www.ozon.ru/product/sous-soevyy-sen-soy-klassicheskiy-1-l-138134138/,"Соус соевый Sen Soy Классический, 1 л",3.5,0,11,58,"Ozon fresh#Бакалея#Масло, соусы и кетчупы#Соевый соус#Sen Soy",169,1,4.9,47341,https://cdn1.ozone.ru/s3/multimedia-1-s/7505711452.jpg,"Эргономичная бутылка и выгодная упаковка. Превосходная приправа к блюдам из овощей, птицы и мяса. Придаст тонкий аромат и изысканный вкус любым гарнирам, пельменям и даже яичнице. Можно как добавлять в уже готовые блюда, так и использовать для их приготовления (жарки, тушения, маринования). Полиэтиленовая бутылка объемом в 1 литр очень удобна в транспортировке, эксплуатации и хранении, а также — это экономически выгодное решение для кафе, ресторанов и точек быстрого питания.",0.0603448275862069,0.169,,2025-06-13 11:02:04,,1000,
https://www.ozon.ru/product/kletchatka-f10-super-zelen-leaftogo-180-gr-1522821234/,"Клетчатка F10 супер зелень LEAFTOGO, 180 гр",14,0.2,77.2,368,Ozon fresh#Бакалея#Завтраки#Отруби и клетчатка#LeafToGo,696,1,4.9,5767,https://cdn1.ozone.ru/s3/multimedia-1-6/7336229370.jpg,"Многокомпонентная клетчатка LeafToGo F10 multifiberУникальная формула добавит полноценную норму зелени в ваш рацион, благодаря содержанию концентрата пророщенной зеленой гречки, барлейграсса, витграсса, высушенного порошка сельдерея и шпината, кейла, моринги, спирулины, псиллиума и матчи.Антиоксидантные свойства ингредиентов подавляют выработку свободных радикалов и оптимизируют клеточную метаболическую активность в организме человека. Барлейграсс, витграсс и кейл - мощнейшие антиоксиданты в природе, защищают организм от высокотоксичных радикалов, обладают антимикробными и антибактериальными свойствами, обеспечивая защиту организма от различных видов инфекций. Благодаря содержанию хлорофилла, насыщают клетки тела и кровь кислородом, повышают уровень гемоглобина в крови, оказывают очищающее действие на организм.Пребиотики в продукте поддержат здоровье пищеварительной системы, улучшат перистальтику кишечника, нормализуют стул и восстановят микрофлору.Моринга предотвращает рост различных патогенов, вызывающих проблемы с пищеварением. Кроме того, она полезна при колите, защищает от бактериальных заболеваний и поддерживает стабильный уровень сахара в крови.Спирулина восполняет дефицит важных витаминов, минералов, белков, а также способствует очищению и детоксикации.Псиллиум на 88 % состоит из растворимой клетчатки, при растворении образует гелеобразную массу, которая обволакивает слизистую ЖКТ, защищает её от раздражения и вытягивает токсичные вещества из организма, способствует похудению.Матча способствует укреплению иммунитета, улучшению метаболизма, профилактике сердечно-сосудистых, онкологических заболеваний. Продукт также стимулирует работу мозга, заряжает энергией, помогает быстрее восстановиться при ангине, благотворно влияет на состояние кожи и даже замедляет старение.Продукт подходит для вегетарианцев и веганов, не содержит ГМО.Рекомендован прием от 1 до 3 порций в день. Независимо от еды.Продолжительность приема не ограничена",0.03804347826086957,3.8666666666666667,,2025-06-13 11:02:04,,180,
https://www.ozon.ru/product/makarony-federici-farfalle-bantiki-66-iz-tverdyh-sortov-pshenitsy-400-g-239542311/,"Макароны Federici Farfalle бантики №66, из твёрдых сортов пшеницы, 400 г",12,1,72,350,"Ozon fresh#Бакалея#Макароны, крупы, мука#Макаронные изделия#Federici",71,1,5.0,34784,https://cdn1.ozone.ru/s3/multimedia-1-b/7509463103.jpg,"Federici начинают свою историю c 1888 года в Италии. С 1990-х г. производство перевезено в Россию на макаронную фабрику «Америя», оснащенную современным швейцарским (фирма «Buhler») и итальянским (фирма «Fava») оборудованием, что позволяет соблюдать все технологии производства и получать качество, не уступающее итальянскому. Federici Farfalle производятся по классической технологии из твердых сортов пшеницы группы «А», основная составляющая - сложные углеводы, что дает организму долгое время чувство насыщения. Farfalle (бабочки) в России данная форма макаронных изделий более известна как бантики. Бабочки - старейший вид пасты, появившийся в 16 веке в Ломбардии. Рассказывают, что пасту изобрели домохозяйки, которые использовали кусочки теста, оставшиеся от приготовления пасты с начинкой: когда она заканчивалась, оставшееся тесто нарезали на прямоугольники и защипывали посередине. Фарфалле подходят для салатов, их подают с морепродуктами и овощными соусами, реже — с густыми мясными.",0.03428571428571429,0.1775,,2025-06-13 11:02:05,,400,
https://www.ozon.ru/product/kukuruza-bondyuel-sladkaya-340-g-137324023/,"Кукуруза Бондюэль сладкая, 340 г",2.60,1,15.20,80,Ozon fresh#Бакалея#Консервация#Горох и кукуруза#Бондюэль,137,1,4.9,70783,https://cdn1.ozone.ru/s3/multimedia-1-h/7148204609.jpg,"Тот самый чудесный вкус, которые многие помнят с детства! Сладкая кукуруза тщательно отбирается, прежде чем попасть в банку, процесс от сбора с грядки до упаковки проходит всего за 4 часа, поэтому на вашем столе всегда самые отборные, сочные и золотистые зерна. Создавайте классические, традиционные блюда с сочной и универсальной кукурузой от Бондюэль.",0.0325,0.40294117647058825,,2025-06-13 11:02:05,"кукуруза в зернах, вода питьевая, сахар, соль.",340,
